,gallery,title,content,date,keyword,searchMode,disaster
31,일본 지진,아오모리현 무츠 만에서 지진,지진 발생 당시 실시간 영상 화면 https://www.jma.go.jp/bosai/map.html#7/41.162/141.383/&elem=int&contents=earthquake_map 気象庁｜統合地図ページ 気象庁｜統合地図ページ www.jma.go.jp 11월 20일 오후...,2024-11-20 15:43:00,지진,accuracy,
32,일본 지진,ChatGPT에게 심상치 않은 최근 한국지진을 분석하라 해봄.,업그레이드 하거나 몇시간 뒤에 다시 하라네... Q. 우리나라 지진이 요새 심상치 않은데 간단히 최근 지진을 분석해봐 ​ A.최근 한국에서 지진 활동이 빈번하게 발생하고 있습니다. 2024년 9월 한 달 동안만 해도...,2024-09-27 11:13:00,지진,accuracy,
34,지진,심해어 출몰한 캘리포니아서 7.0 지진 발생,죽은 채로 발견됐습 v.daum.net https://v.daum.net/v/20241206055400417 미 캘리포니아 북부 해안 7.0 지진…쓰나미 발령 후 해제 &#x1f53c; 지진 발생 지점 5일(현지시간) 오전 10시 44분 미국 캘리포니아주...,2024-12-06 06:32:00,지진,accuracy,
35,포켓몬 마스터즈,"테크롤빵과 초각성 받은 (일반)난천 B딜, 지진딜 예상","다운 전체다운내성5 팀스킬 미적용 공스텟 : 517×1.1+40+60=668 B기술 위력 : 192×1.5×1.2+100 = 445 지진 위력 : 120×1.3+3 = 159 B딜뻥 : 공업비례B딜뻥, 모래바람시B딜뻥5,스피드비례B딜뻥(초각), 급2...",2024-10-31 16:36:00,지진,accuracy,
36,러시아-우크라이나,일본 기상청 미야자키 지진에 “거대 난카이 지진 주의” 첫 당부,"일본 정부가 처음으로 '난카이 대지진'으로 불리는 거대 지진에 주의해달라고 당부했습니다. 오늘 오후 4시43분 미야자키현 앞바다에서 규모 7.1의 지진이 발생하자, 거대 난카이 대지진 관련성을 처음 조사한 뒤...",2024-08-08 20:06:00,지진,accuracy,
37,몬스터헌터 시리즈,아본 격잔 지진 판정이 어떻게 되어먹은거지,부채꼴 3줄기 바닥 터뜨리는거 터지기 전에 빛날때 지진 걸리는 건가 지진 지진 지진 걸리고 뒤지길래 내진주 박고 깼는데 뭔가 아쉽네,2024-11-21 15:03:00,지진,accuracy,
38,로스트 미디어,경주 지진 당시 흔들렸던 TBC 8 뉴스,왜 삭제했는지는 모르겠는데 https://youtu.be/3PQSzGEbteI 03 경주지진 TBC 8 뉴스 진행도중 강한 지진 발생 설명 2016 youtu.be 여기 있음,2024-11-25 20:48:00,지진,accuracy,
39,클래시 로얄 리그(CRL),로호 지진 엘리트 업글순서 추천 해주세요,로호 지진 엘리트 업글순서 추천 해주세요 퀸 로얄호그 지진 아스 통나무 해골 로얄택배 대포 어떤거를 먼저 15렙 하는게 좋아요?,2024-12-09 08:43:00,지진,accuracy,
40,워킹홀리데이-일본,11월 지진문자 온거,11월 17일 가고시마 남동쪽 해역 6.0 11월 20일 아오모리 동북쪽 해역 5.1 11월 26일 이시카와 북서쪽 해역 6.4 도쿄워붕인데 아직 한번도 지진은 못느껴봄 지진 무섭긴하다,2024-11-26 23:02:00,지진,accuracy,
41,지진,"16일 부여 지진 1.9규모 ""흔들림 감지"" 최대진도Ⅲ",https://news.zum.com/articles/94542656?cm=share_link&tm=1731810107037 부여 지진 1.9규모 `흔들림 감지` 최대진도Ⅲ [박준민 기자] 16일 오전 8시 5분 19초 충남 부여군 서북서쪽 6km 지역에서 규모 1.9 미소...,2024-11-17 11:22:00,지진,accuracy,
42,지진,제주 바다에 무슨 일?…이달만 지진 5회 연이어 발생,https://v.daum.net/v/20241118064201209 제주 바다에 무슨 일?…이달만 지진 5회 연이어 발생 &#x1f53c; 2021년 12월 제주에서 발생한 규모 4.9의 지진 지진 안전지대로 여겨지는 제주에서 이달 들어서만 5회의...,2024-11-25 06:23:00,지진,accuracy,
43,러시아-우크라이나,쿠바 만사니요 남남동쪽 해역서 규모 6.8 지진 발생,"11일 오전 1시 49분 51초(한국시간) 쿠바 만사니요 남남동쪽 61km 해역에서 규모 6.8의 지진이 발생했다고 기상청이 외국 관측 기관 등을 인용해 전했다. 진앙은 북위 19.81도, 서경 76.96도이며 지진 발생 깊이...",2024-11-11 02:16:00,지진,accuracy,
44,지진,[국내] 제주시 서쪽 먼바다 지진에 대해,%EC%A0%9C%EC%A3%BC%EC%8B%9C+%EC%84%9C%EC%AA%BD&dpType=a 국내지진조회 - 기상청 날씨누리 국내지진조회 - 기상청 날씨누리 www.weather.go.kr 11월 3일부터 오늘(10일)까지 간헐적으로 규모...,2024-11-10 14:42:00,지진,accuracy,
45,역학,일본도 맨날 100년주기 지진 올까봐 걱정하던데,후지산 폭발도 그렇지만 100년주기로 항상 일어나는 지진인데 벌써 100년 지났다고함 그래서 언제 지진 나도 이상하지 않기 때문에 미리 동영상도 만들고 안내책자도 만들고 준비 다 해놓았다고 하던데,2024-12-06 10:36:00,지진,accuracy,
46,지진,'이번 달에만 5번'…올해 제주 바다에 11차례 지진 발생,이번 달에만 5번'…올해 제주 바다에 11차례 지진 발생 제주에서 이달 들어서만 다섯 번의 지진이 발생했습니다. 오늘(16일) 기상청 날씨누리에 따르면 올해 들어 제주 해역에서 11차례 지진이 발생했으며 이...,2024-11-17 11:14:00,지진,accuracy,
47,로스트아크,일본 역사상 가장 유명한 지진은 이 중에서 뭐라고 생각하냐?,일본 올타임 지진 GOAT는 이 중에서 몇년도 무슨 지진이라고 생각하냐? - dc official App,2024-12-03 00:03:00,지진,accuracy,
48,스텔라이브,"[속보] 북한 자강도 용림 동북동쪽서 3.9 지진…""자연지진""","https://n.news.naver.com/article/031/0000870508 [속보] 북한 자강도 용림 동북동쪽서 3.9 지진…""자연지진"" 기상청은 19일 오후 7시 41분 18초 북한 자강도 용림 동북동쪽 7km 지역에서 규모 3.9의 지진이...",2024-09-19 20:35:00,지진,accuracy,
49,기타 국내 드라마,美 캘리포니아 북부 해안서 규모 7.0 지진…쓰나미 경보(종합),https://n.news.naver.com/article/001/0015088003?sid=104 美 캘리포니아 북부 해안서 규모 7.0 지진…쓰나미 경보(종합) 김태종 특파원 = 5일(현지시간) 오전 10시 44분 미국 캘리포니아주 북부 해안에서 7.0...,2024-12-06 13:28:00,지진,accuracy,
50,로그라이크,ㅇㄹ) 오파코 지진 개쌘거 현타오네,망치들려주니 돌진 -> 지진으로 걍 주변을 개박살내버리는데 얻은지 얼마되지도 않은 얘가 왜 나보다 더 강해보이냐... 지진이 개쌘건지 오파코가 인자강인지 걍 둘다인지 모르겠다 어우 - dc official App,2024-12-08 13:45:00,지진,accuracy,
51,글로벌 정치,"日가나가와현서 규모 5.3 지진…난카이 지진과 ""관계 없는 듯""","일본 수도권 지역인 가나가와(神奈川)현 아쓰기(厚木)시에서 9일 오후 7시57분께 규모 5.3 지진이 발생했다. 현지 공영 NHK, 지지통신 등에 따르면 진원의 깊이는 약 13㎞라고 기상청은 밝혔다. 지진으로 인한...",2024-08-09 22:46:00,지진,accuracy,
52,새로운보수당,北 함경북도 길주 북북서쪽서 2.5 지진,breakingnews&cds=news_edit [속보] 北 함경북도 길주 북북서쪽서 2.5 지진 지진 발생 위치. 기상청 제공 기상청은 2일 오후 9시 24분 57초 북한 함경북도 길주 북북서쪽 37㎞ 지역에서 규모 2.5의 지진이 발생...,2024-11-02 23:01:00,지진,accuracy,
53,기타 국내 드라마,"규모 '7' 지진에 캘리포니아 화들짝…""대지진 전조?"" 경계","https://n.news.naver.com/article/055/0001212770?sid=104 규모 '7' 지진에 캘리포니아 화들짝…""대지진 전조?"" 경계 ▲ 5일(현지시간) 발생한 캘리포니아 지진으로 피해 입은 한 상점 모습 미국 캘리포니아주...",2024-12-06 15:07:00,지진,accuracy,
54,러시아-우크라이나,"美 오리건주 태평양 해역 규모 6.0 지진…""쓰나미 예상안해""","30일 오후 1시 15분(현지시간) 미국 오리건주 인근 태평양 해역에서 규모 6.0의 지진이 발생했다고 미 지질조사국(USGS)이 밝혔다. 지진 발생 지점은 오리건 주도(州都)인 세일럼 서남서쪽 410㎞, 해안도시인...",2024-10-31 11:46:00,지진,accuracy,
55,해외야구,일본 올타임 지진 GOAT는 몇년도라고 생각하는지?,지진 1997년 5월 가고시마 지진 1998년 9월 이와테현 지진 2000년 7월 도쿄이즈 제도 지진 2000년 7월 도쿄 미야 케촌 지진 2000년 10월 돗토리 지진 2001년 3월 히로시마 지진 2003년 7월 미야기 지진 2003...,2024-12-02 23:58:00,지진,accuracy,
56,디지털 사진,4시 반쯤 난 지진보다 더 큰 지진이 올 가능성에 주의해야 한뎅,오늘 지진난 곳이 난카이 트로프 지진이라는 거대 지진이 일어날 수 있는 지역인데 지진 후 2시간 검토 결과 더 큰 지진이 올 수 있으니 주의하라고 발표가 나씀 현지인이 아니니 모르지만 가능성이 0...,2024-08-08 19:23:00,지진,accuracy,
57,해외축구,일본 역사상 가장 유명한 지진은 이 중에서 뭐라고 생각하냐?,이 중에서 일본 올타임 지진 GOAT는 몇년도 지진이라고 생각하냐? - dc official App,2024-12-03 00:01:00,지진,accuracy,
58,군사,속보] 北 함경북도 길주 북북서쪽서 2.5 지진,breakingnews&cds=news_edit [속보] 北 함경북도 길주 북북서쪽서 2.5 지진 지진 발생 위치. 기상청 제공 기상청은 2일 오후 9시 24분 57초 북한 함경북도 길주 북북서쪽 37㎞ 지역에서 규모 2.5의 지진이 발생...,2024-11-02 22:56:00,지진,accuracy,
59,로그라이크,ㅇㄹ)피트 18짜리 지진유전자 나와서,기생용으로 쓰는 고양이에 합성했더니 이거 걍 미쳤네 ㅋㅋㅋ 알아서 지진 난사하는데 개편하노 ㅋㅋㅋㅋ 지진 유전자 나오면 아껴뒀다가 꼭 기생용 동료나 근접한테 붙여줘라 진짜 개좋다,2024-12-04 04:06:00,지진,accuracy,
60,스즈하라 노조미,이번에 지진난거 좀 큰 지진이네,이번 미야자키 지진에 대해 일본 기상청이 사상 최초로 난카이 트로프 대지진 주의보를 발령했음 알고있는 사람은 알겠지만 일본에 언젠가 온다는 유명한 대지진 중에 일본열도 절반이 영향권에 들어가는 난카이...,2024-08-09 13:02:00,지진,accuracy,
61,클래시 오브 클랜,지진부츠 너프먹을 일 없을 듯 ㅇㅇ,지금 지진부츠 없으면 지상 사망이다 ㅇㅇ 지진부츠 올릴까말까 고민하던 놈들은 지금이라도 지부 올려라,2024-11-30 17:02:00,지진,accuracy,
62,지진,2일 21:24 M2.5-북한 함경북도 길주 지진,"기상청 어제(2일) 밤 9시 20분쯤 북한 함경북도 길주 북북서쪽 37㎞ 지역에서 규모 2.5의 지진이 발생했습니다. 진앙은 북위 41.28도, 동경 129.21도로 지진 발생 깊이는 17㎞입니다. 기상청은 이번 지진이 자...",2024-11-03 09:13:00,지진,accuracy,
63,군사,이거 이란 지진 원본 데이터,"https://m.dcinside.com/board/war/4093547 이란지진 헛소리라는 념글이 헛소리인 이유 - 군사 마이너 갤러리 반박 원글 : https://gall.dcinside.com/mgallery/board/view/?id=war&no=4092644 ""이란지진은 S파...",2024-10-09 07:05:00,지진,accuracy,
64,일본 지진,가고시마현 아마미오시마 북동쪽 바다에서 지진,"11월 17일 오후 9시 16분 경, 가고시마현(鹿児島県) 아마미오시마 (奄美大島) 북동쪽 해역에서 지진이 있었음 지진의 규모는 6.0, 최대진도는 3, 진원의 깊이는 10km임 일단 이 지진으로 인한 해일의 우려는 없고...",2024-11-17 23:25:00,지진,accuracy,
65,시대인재 N 재수종합,진원 깊이 70km 이하인 지진 <= 이 표현,아무 생각없이 70km 보다 아래에서 일어난 지진이라고 판단해서 틀림 답지 보니까 70보다 작은 숫자의 깊이에서 발생한 지진이라는데 평가원도 이런 표현 쓰냐?,2024-11-02 15:48:00,지진,accuracy,
66,더불어민주당,지진 처음 느낀건 2016년 울산 지진,"솔직히 그때는 처음 경험해보는 일에다가 바다에서 난 지진이기도 하고 좀 멀었으니까 재밌었는데 불과 두 달 뒤에 바로 내 지역에서, 육지에서 5.8이 터질지 알았나ㅋㅋ",2024-11-28 01:14:00,지진,accuracy,
67,기타 국내 드라마,그리스 북부 네아무다니아서 규모 5.6 지진-EMSC(상보,https://n.news.naver.com/article/421/0007884745?sid=104 그리스 북부 네아무다니아서 규모 5.6 지진-EMSC(상보) 그리스 북부 네아무다니아 지역에서 3일(현지시간) 오후 5시53분께(한국시간 4일 오전 12시53분...,2024-11-04 09:41:00,지진,accuracy,
68,클래시 오브 클랜,지진 스볼 너프 안 되나,자건 만렙인데 부캐로 지진 스볼 써보니 그냥 넘사벽이네 너프 안 되면 본캐도 그냥 올려버릴까,2024-12-01 09:55:00,지진,accuracy,
69,프로미스나인 리얼리티,미친 미국 7.5 지진,https://naver.me/5PVCFtdn [속보] 美캘리포니아서 규모 7.5 지진…쓰나미 경보 [속보] 美캘리포니아서 규모 7.5 지진…쓰나미 경보 naver.me,2024-12-06 04:02:00,지진,accuracy,
70,빈센조,"[속보] 일본, 거대지진 주의 발표... 최악의 지진이 온다",기상청은 오후 7시 반경 '난카이 해곡을 따라 지진에 관한 평가 검토회'의 임시 회합 조사 결과에 따라 난카이 해곡 지진 임시 정보인 '거대 지진 주의'를 발표했습니다. 기상청 등에 따르면 사전 대피는 수반...,2024-08-08 19:46:00,지진,accuracy,
71,지진,미 캘리포니아 지진 뒤 여진 17차례...비상 사태 선언,https://v.daum.net/v/20241207021011691 미 캘리포니아 규모 7 지진 뒤 여진 17차례...비상 사태 선언 현지 시간 5일 미국 캘리포니아주 북부 해안에서 7.0 규모의 지진이 발생한 뒤 여진이 10여 차례 계속...,2024-12-07 04:32:00,지진,accuracy,
72,지진,[국내] 경북 영덕군 북동쪽 해역 지진에 대해,"%EC%98%81%EB%8D%95&dpType=a 국내지진조회 - 기상청 날씨누리 국내지진조회 - 기상청 날씨누리 www.weather.go.kr 오늘 여기에서만 총 4회 일어났는데, 이전 기록까지 합하면 올해 총 16회 일어났더라고 대체로...",2024-11-03 23:57:00,지진,accuracy,
73,나스닥,일본- 혼슈 서해안 인근서 규모 5.7 지진 발생 - EMSC,"MAGNITUDE 5.7 EARTHQUAKE STRIKES NEAR WEST COAST OF HONSHU, JAPAN REGION - EMSC 일본 혼슈 서해안 인근서 규모 5.7 지진 발생 - EMSC - dc official App",2024-11-26 22:52:00,지진,accuracy,
74,2차 한국전쟁,이스라엘 이란 동시에 지진 발생 그리고 북한 ㅇㅇ;;,실베에 올라온 글을 보면 충격파 형태상 이란 이스라엘 지진 원인이 핵실험인걸 알 수 있음 그런데 최근 북한 지진이 연발하고 있는데 기사 제목에 ”자연지진” 이게 뭐임 ㅇㅇ;; 인공지진 같은 것도 있나...,2024-10-07 11:49:00,지진,accuracy,
75,지진,난카이 트로프 지진 임시 정보 (거대 지진 주의),"난카이 트로프 지진 임시 정보 (거대 지진 주의) 2024년 8월 8일 19시 15분 기상청 헤드라인 오늘(8일) 16시 43분경, 휴가나다(日向灘)를 진원으로 하는 규모 7.1의 지진이 발생했습니다. 이 지진과 난카이...",2024-08-08 20:55:00,지진,accuracy,
76,기타 국내 드라마,"美 오리건주 태평양 해역 규모 6.0 지진…""쓰나미 예상안해""","https://n.news.naver.com/article/001/0015017070?sid=104 美 오리건주 태평양 해역 규모 6.0 지진…""쓰나미 예상안해""(종합) 김태종 특파원 = 30일 오후 1시 15분(현지시간) 미국 오리건주 인근 태평양 해역...",2024-10-31 17:23:00,지진,accuracy,
77,AKB48,이바라키 지진,"19시 11분경, 이바라키현 남부를 진원으로 하는 지진이 있었습니다.진원의 깊이는 약 50km, 지진의 규모는 M4.1 정도, 최대 진도 3 정도라고 추정되고 있습니다 .",2024-12-04 19:41:00,지진,accuracy,
78,클래시 오브 클랜,마녀골렘 사용할때 4지진 vs 8지진 의견이 좀 갈리네,완파율이 높은게 낫겠지 싶어서 검색해봤는데 의견이 좀 분분하구만 1. 무지성 편리함의 8지진 vs 4지진 + 점프 그리고 마법2칸 활용 2. 마녀골렘 7 vs 마녀골렘 6 + 준식 3. 통발 vs 시훈 뭐 이정도하고...,2024-10-19 09:03:00,지진,accuracy,
79,더불어민주당,근데 포항지진때인가,진짜 무섭긴 했음 자취방에서 낮잠 자는 데 좌우 위아래로 흔들려서 놀라서 깼고 몇 일 지나서 또 지진 났는데 그건 알고보니 몇 일 전 일어난 포항지진에 여진이였음 학교에서 강의 듣다가 건물이 본진과 비슷한...,2024-11-28 01:07:00,지진,accuracy,
80,지진,'지난해 64건' 동해 지진 재발했나?(올해동해지진목록),https://n.news.naver.com/mnews/article/088/0000900553?sid=102 '지난해 64건' 동해 지진 재발했나? 지난 2023년 4월 2일을 시작으로 같은해 10월 24일까지 64차례의 크고작은 지진이 이어져 시선이 쏠렸던...,2024-08-28 17:31:00,지진,accuracy,
81,기타 국내 드라마,지진으로 아내·세 자녀 잃은 日 남성…마라톤 뛰는 이유,"완주 ""여전히 슬프지만 삶은 계속돼야"" https://n.news.naver.com/article/003/0012899608?sid=104 지진으로 아내·세 자녀 잃은 日 남성…마라톤 뛰는 이유 홍주석 인턴 기자 = 지진으로 아내와 세 자녀를 잃은...",2024-11-17 23:39:00,지진,accuracy,
82,라스트 에포크,지진비마 1시노드 vs 8시 노드,"1시의 지진물결로 초기타격 세번발생+ 쿨다운 생기는거랑, 점술 토템주변에 여진일어나는거랑 이 두가지로 지진비마가 나뉘는거같던데 념글은 1.1.2 기준빌드플래너로 8시의 점술토템을, 에폭툴즈1.1.4기준 지진...",2024-09-29 13:32:00,지진,accuracy,
83,미스터리,이란 지진,겨우 M4정도 가지고 호들갑이네. 미국 네바다주는 그정도 규모 지진 잦은데 기사 한 줄 안나옴. . 전세계에서 지진 가장 많은 나라는 중국임. 일본이 아니고. 중국이 땅이 크니까. 이란도 중급 규모 지진이 잦은...,2024-10-08 21:15:00,지진,accuracy,
84,제3의 위치,우리나라도 20년전부터 인공지진을 연구중이었다,가끔 국내 2~3짜리 국소지진은 실험용 지진이고 기술력도 20년 넘게 축적됨 https://youtu.be/GH7rtBUEC6M?si=dQe2zsE55GjPpUYN [추억의 뉴스] 국내 최대! 지진 인공실험.. 내용 : 2001년 당시 국내 최대 인공...,2024-11-27 21:14:00,지진,accuracy,
85,해외주식,오늘 이란에서 일어난 지진 핵실험 가능성 있음,아르메니아 방송국에서 이란에서 어제 밤 발생한 리히터 규모 4.6의 지진을 포착 아르메니아 연구원에 따르면 지진 압축파가 없어 지진보다는 폭발에 더 가깝다고 합니다. 첫 번째 이미지는 아라단이라는 마을...,2024-10-07 02:18:00,지진,accuracy,
86,글로벌 정치,지진난 줄”…포스코 포항제철소 불 5시간 만에 꺼져,https://v.daum.net/v/20241110211836958 “지진난 줄”…포스코 포항제철소 불 5시간 만에 꺼져 [앵커] 오늘(10일) 새벽 포스코 포항제철소에서 큰 불이 났습니다. 현장 근로자 한 명이 화상을 입었습니다. 집채...,2024-11-10 21:39:00,지진,accuracy,
87,빈센조,일본에 규모 10 클래스의 지진이 발생가능성 제기 jpg,"1.지구 상에서 가장 최근에 일어난 규모 9클래스의 지진 도호쿠지방 태평양 해역 지진 (일명 동일본 대지진) 2011년3월 11일 오후 2시 46분 규모 9.0지진의 발생으로 공식 사망자수가 22,115명에 달함. 그 이전에...",2024-08-10 16:02:00,지진,accuracy,
